Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52798438,10.44769085,10.39257441,10.33791339,10.27954862,10.28498973,10.2333395,10.19933438,10.13832723,10.09988716,10.17435614,10.14646692,10.03779159,10.12058735,10.09467986,10.10141029,10.13943703,10.1273113,10.02631578,9.89751966,9.881341977,9.910266529,9.942707377,9.778460636,9.867109104,9.780063531,9.739143649,9.76606722,9.621382273,9.336643169,9.107722035,9.268475099,9.085401474,9.332349602,9.365701802
Afghanistan,AFG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.58409407,12.91335718,12.98264923,13.09368422,13.38214842,13.30136084,13.21429112,13.09961403,12.98395293,12.87623573,12.63838425,12.96107903,13.17532133,13.18515905,13.5002727,13.70732206,14.03320434,14.27249276,15.72091197,16.98432251,17.56471069,18.92253841,21.34582753,23.85566179,22.61914392,21.3484269,20.1948976,19.3764202,18.60929218,18.48131334,19.6166326,19.03650821,19.2101817,19.04343302,18.89910466
Africa Western and Central,AFW,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68690993,10.68570857,10.54316097,10.43877195,10.41425942,10.47829661,10.5170826,10.52936581,10.51456121,10.5836354,10.61037487,10.76489113,10.85303247,11.03281448,11.09161849,11.18730551,11.23467709,11.37610821,11.58001746,11.90183415,12.16174421,12.67533957,13.27774412,13.36088925,13.25075271,12.97363177,13.18652819,13.27821172,13.42677981,14.00817519,14.56396984,15.51372163,15.53678217,15.56418836,15.70051116
Angola,AGO,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.511284691,7.468543457,7.397625309,7.484844172,7.630702986,7.805970026,7.952663011,8.121059709,8.134866606,8.206038689,8.335073747,8.543406249,8.621997324,8.679960093,8.436740784,8.099574906,7.822266263,7.426900303,7.094504416,7.040573966,6.939456505,6.995087177,6.937374579,6.90546974,6.978239909,6.964710825,6.973175142,6.913523201,6.910480845,6.221126303,5.717572676,7.02747877,7.067039012,7.157697609,7.199145031
Albania,ALB,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1522981,17.88458835,17.79574811,17.595612,16.71344213,15.23482986,15.62943198,15.21963538,15.60873092,16.19718437,16.31411212,16.83205937,16.40857041,17.30126157,17.29957182,17.22454849,17.55061075,17.83287688,18.72467638,19.13970269,18.77164695,17.03246516,17.32253146,18.42574981,19.04736309,20.1110874,19.94606691,20.23156799,20.54900042,20.89668271,21.76824436,22.24950252,21.64887267,21.79501477,21.98324732
Andorra,AND,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.32411767,21.51632931,21.58928892,21.85792551,21.93255028,22.4941378,22.4089495,22.39462561,22.43984709,22.0917488,22.10289922,21.92203093,21.82366948,22.20861538,22.86444168,23.34365427,23.70681802,24.38974142,24.66953938,25.27986935,24.82215327,24.9220635,24.74531621,24.90804647,25.13523019,25.33822491,25.53378648,25.56686193,25.61499502,24.9155437,24.8292011,24.60536282,26.33197567,26.4023194,26.42995972
United Arab Emirates,ARE,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.98386158,42.94428027,42.90502849,42.91093766,43.01769852,42.957278,43.24157083,43.10314741,42.80249858,42.76604132,41.20010446,39.52804753,38.46842129,37.22542053,35.83133924,34.86078737,33.66848526,32.41185477,32.15478612,31.81090989,31.4633572,31.04379217,30.88429736,30.85422908,31.11292868,30.95271776,30.49440574,30.21270631,29.9929929,28.94285924,30.8775672,30.74869231,30.78273005,30.57825202,30.59443095
Argentina,ARG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3757346,26.95708317,24.73269439,24.03550437,22.84541031,22.75312,23.36707231,22.82431175,21.73930293,20.93402379,20.29778113,18.65800467,20.24869244,20.56422977,21.14264754,21.57324431,21.89879287,22.08183566,21.35532245,21.58195808,22.39360794,22.1242387,22.47409544,22.79487606,22.36892529,21.57254058,21.13299757,20.78486737,20.61491984,20.92646281,20.4837081,21.11800643,21.41150455,21.11218669,21.18432878
