Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.52279523,27.97476493,27.94460017,27.83077981,27.86945049,28.17536472,28.11945013,28.0979935,28.1356925,28.08088089,27.93434514,27.68832245,27.68622847,27.81244079,27.97283402,28.29715217,28.60430963,28.85994703,29.0800077,29.80239096,30.15214474,30.61369366,30.38868598,31.04448109,31.5469036,32.09829584,32.68731693,33.53814247,34.54839961,33.02615687,32.79407985,33.6081619,33.69670495,34.29771119,34.69681301
Afghanistan,AFG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.08196163,21.8193802,21.7002845,21.39991902,21.78681527,22.23911409,22.69492016,23.02633416,23.35013144,23.67299067,22.83842376,24.45312461,24.78184894,24.83314848,25.70771895,25.94205048,27.22488788,27.66219855,29.39484259,31.15925268,31.11779639,32.31330845,32.07636279,32.23916864,33.73211523,35.23983685,36.80213449,37.01667855,37.51353912,35.53527728,30.15158583,29.42721424,29.49849184,29.50216777,29.47191784
Africa Western and Central,AFW,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05224533,30.2284978,30.33285884,30.51375553,30.66068104,30.92068988,31.28235327,31.68428121,32.03608274,32.39891552,32.70539106,32.89943642,33.31414905,33.85939579,34.3740979,34.88871333,35.51947993,36.17560962,36.87078892,37.74439766,38.39854342,38.95965455,39.49559749,40.10594208,40.69609839,40.96918892,41.47784758,42.10828222,42.90572562,41.32855407,41.54598575,41.80244853,42.32235686,42.84597691,43.25311954
Angola,AGO,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.37373809,62.83732689,62.31142627,61.65706912,61.74420864,61.68030766,61.72236665,61.68361413,61.05598618,60.88453072,60.94086426,60.90196066,60.70596105,60.43153758,58.46513555,56.68758032,54.89111379,53.14967049,51.32632135,48.85563426,46.54919989,44.42130217,42.43801314,40.33163921,40.32154987,40.11395843,40.01787276,39.77733549,39.6661958,38.21913114,37.57492673,40.48776273,40.52634003,40.6875553,40.85146548
Albania,ALB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.01871449,41.63096242,41.27881718,41.20011506,40.60864999,38.9954978,40.0351782,39.27524457,37.23737919,37.33231373,37.31498428,37.51473718,37.63631268,36.46948281,36.35876853,37.08193968,37.31815385,37.54099829,36.55461915,38.00568947,35.7883363,36.83684287,38.71579365,39.66942229,39.86078727,40.21124272,42.24234025,42.7083958,43.21586703,43.24148143,44.42698479,43.99624975,46.31254475,46.77911568,47.24439385
Andorra,AND,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.80505052,45.03781482,46.06740288,46.4328939,46.52297556,46.67745697,47.583524,48.31235392,48.64547943,49.1435141,50.05276361,51.09024686,51.27560716,50.8473644,51.12108453,51.36480371,51.53639477,52.03177626,52.68642449,53.01568974,53.8959449,54.6481941,55.17016591,55.57211206,56.2550527,56.62703167,56.53742675,57.48730136,57.69371381,58.11578362,58.42021462,59.14397792,59.76924269,59.87539319,60.08800753
United Arab Emirates,ARE,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.76200177,50.89235494,51.04639981,51.14889691,51.1619681,51.23675472,50.99241723,51.16487816,51.43726288,51.4808096,53.45139107,55.49416464,56.93588689,58.51608227,60.21261757,61.48275738,62.94870723,64.46342237,64.76023532,65.13010843,65.50060389,65.95731899,66.17749634,66.27152748,66.10636011,66.32728191,66.82747284,67.15395945,67.42089242,68.99888622,67.47317387,67.68804251,67.70114527,67.94354203,67.96771727
Argentina,ARG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.30802649,59.21082821,61.91484868,63.05746977,64.40834066,64.87635705,64.65571203,65.49921087,66.68166284,67.61845397,68.29524079,69.72887044,68.49984932,68.69842749,68.58686479,68.59974169,68.65571235,68.74825254,69.60034224,69.70726193,69.07244954,69.48755512,69.29821973,69.03045437,69.65295491,70.48769071,71.09919134,71.49091774,71.77203301,71.30673342,71.76619392,71.31715255,71.22326063,71.63932982,71.81473922
