Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.71917574,65.74039169,65.74100776,65.92701063,66.24845744,66.34253476,66.3366042,66.25871008,66.16838015,66.17334931,66.2144839,66.24455635,66.28529349,66.40063175,66.51993574,66.42393089,66.27089858,66.08509821,65.65950893,65.06705119,65.28401384,64.70468569,65.51668124,64.73829831,64.33509356,63.76758001,63.06175022,62.63081748,62.09258332,60.69384791,60.48173152,61.17237004,63.59663509,63.66151309,63.67730095
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.382,43.34,43.305,43.249,43.188,43.116,43.058,42.995,42.938,42.885,42.817,42.846,42.85,42.881,42.866,42.893,42.966,43.004,43.097,43.159,43.213,43.258,43.301,43.368,42.906,42.457,42.014,40.466,38.913,36.71,35.8,32.333,32.323,32.408,32.457
Africa Western and Central,AFW,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.6906555,72.87668402,72.94975382,73.14467269,73.16317081,73.08459454,73.03629255,72.94167351,72.75081579,72.59087022,72.52891331,72.53620604,72.44310443,72.3736543,72.18894452,72.13420549,72.00233063,71.73642766,71.49079946,71.22384185,71.04328199,70.81867835,70.70988188,70.23023892,69.80463863,69.75097924,69.27100551,69.03507863,68.81502973,67.3348584,67.92926766,69.35757254,70.12328285,70.07097963,69.96768482
Angola,AGO,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.307,64.226,63.88,63.899,64.271,64.892,64.973,64.787,64.579,64.484,64.451,64.617,64.59,64.677,64.679,64.804,64.842,64.775,64.6,64.438,64.35,64.296,64.119,63.952,63.638,63.321,63.045,62.812,62.644,61.078,64.306,64.619,64.369,64.383,64.236
Albania,ALB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.273,48.547,50.736,52.725,55.276,54.626,53.996,50.942,49.13,49.528,48.965,48.945,48.611,48.121,47.419,46.704,45.61,46.245,47.473,47.426,51.857,49.371,44.101,43.775,45.955,48.477,50.152,52,53.392,52.458,52.836,55.457,57.066,57.164,57.242
Andorra,AND,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.90742282,41.95468443,41.77313668,41.91591168,41.43831394,41.8020655,41.82792605,41.63822176,41.88192768,41.33456278,40.89581049,40.29109141,40.423477,41.02075656,41.26343948,41.80339173,42.23591038,42.310574,42.60755376,42.97370674,42.43981604,42.01778454,42.08925176,42.10254961,41.61711447,41.71115726,40.87678873,40.58935849,40.5200562,38.92335786,39.28242415,40.36981952,41.86700544,41.87790464,41.78365635
United Arab Emirates,ARE,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.432,73.667,74.048,74.42,74.789,74.636,73.918,73.327,72.964,72.831,72.825,72.996,73.28,73.803,74.315,74.934,75.051,74.887,74.35,74.498,74.881,75.256,75.691,76.119,76.599,77.16,76.82,77.339,77.614,75.398,74.661,75.023,76.681,76.789,76.885
Argentina,ARG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.707,56.855,55.284,54.716,49.947,51.392,53.474,55.104,53.755,52.968,50.973,48.366,51.661,53.567,54.434,55.567,55.937,55.692,55.526,55.544,56.297,56.005,55.705,55.123,54.744,54.247,53.899,54.101,54.355,49.602,55.085,57.3,58.463,57.439,57.489
